customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0058-CHURN,Male,0,No,No,9,Yes,DSL,Month-to-month,Credit card,70.61,652.56,No
0059-CHURN,Male,0,Yes,No,60,Yes,No,One year,Mailed check,32.79,1991.49,No
0060-CHURN,Male,0,No,No,70,Yes,Fiber optic,One year,Credit card,108.41,7371.51,No
0061-CHURN,Male,0,No,Yes,34,No,No,Two year,Mailed check,20.89,713.52,No
0062-CHURN,Male,1,Yes,No,42,Yes,DSL,Two year,Mailed check,66.3,2753.29,No
0063-CHURN,Female,0,No,No,59,Yes,No,Two year,Credit card,32.38,1884.59,No
0064-CHURN,Male,0,No,No,44,Yes,Fiber optic,Two year,Credit card,114.5,5159.57,No
0065-CHURN,Male,1,Yes,No,55,Yes,No,Two year,Mailed check,29.69,1665.87,No
0066-CHURN,Female,0,Yes,No,4,Yes,DSL,Month-to-month,Electronic check,72.19,280.26,Yes
0067-CHURN,Male,0,Yes,No,66,Yes,Fiber optic,Two year,Mailed check,104.83,6786.63,No
0068-CHURN,Female,0,Yes,No,10,Yes,Fiber optic,Month-to-month,Bank transfer,107.28,1086.93,No
0069-CHURN,Male,0,No,No,12,No,Fiber optic,One year,Credit card,105.07,1287.18,No
0070-CHURN,Female,1,No,Yes,37,No,DSL,Two year,Mailed check,59.23,2220.12,No
0071-CHURN,Female,1,Yes,No,50,Yes,No,Two year,Electronic check,32.2,1612.44,No
0072-CHURN,Male,0,No,Yes,7,Yes,DSL,Month-to-month,Bank transfer,77.4,557.55,No
0073-CHURN,Male,0,Yes,No,67,Yes,DSL,One year,Electronic check,69.25,4722.51,No
0074-CHURN,Female,0,Yes,No,26,Yes,DSL,Month-to-month,Mailed check,76.16,1976.35,No
0075-CHURN,Female,0,Yes,Yes,12,Yes,No,One year,Mailed check,29.52,356.01,No
0076-CHURN,Female,0,No,No,1,Yes,Fiber optic,Month-to-month,Electronic check,98.06,95.38,Yes
0077-CHURN,Female,0,Yes,No,15,Yes,Fiber optic,Month-to-month,Credit card,99.69,1537.05,Yes
0078-CHURN,Male,1,Yes,No,65,Yes,Fiber optic,Two year,Mailed check,112.74,7267.75,No
0079-CHURN,Male,1,Yes,Yes,37,Yes,No,Two year,Credit card,28.5,1064.72,No
0080-CHURN,Male,0,No,No,67,Yes,DSL,One year,Mailed check,77.09,5216.77,No
0081-CHURN,Female,0,No,No,2,Yes,DSL,Month-to-month,Credit card,76.0,147.96,Yes
0082-CHURN,Female,0,Yes,No,39,Yes,DSL,Two year,Mailed check,70.72,2719.33,No
0083-CHURN,Male,0,Yes,No,72,Yes,Fiber optic,Two year,Credit card,109.63,7967.33,No
0084-CHURN,Male,0,No,No,7,Yes,Fiber optic,Month-to-month,Bank transfer,111.89,802.6,Yes
0085-CHURN,Male,0,No,No,70,Yes,Fiber optic,Two year,Electronic check,112.63,8015.91,No
0086-CHURN,Male,0,Yes,No,70,Yes,Fiber optic,One year,Electronic check,107.82,7583.69,No
0087-CHURN,Female,0,No,Yes,43,Yes,DSL,Two year,Credit card,67.7,2864.37,No
0088-CHURN,Female,0,No,Yes,55,Yes,DSL,Two year,Bank transfer,76.65,4329.28,No
0089-CHURN,Female,1,Yes,Yes,60,Yes,DSL,Two year,Electronic check,63.7,3799.91,No
0090-CHURN,Male,0,No,No,2,No,DSL,One year,Bank transfer,58.34,114.23,No
0091-CHURN,Male,0,No,No,33,Yes,DSL,Month-to-month,Electronic check,73.0,2339.86,Yes
0092-CHURN,Female,0,No,No,53,Yes,Fiber optic,One year,Credit card,115.82,6304.25,No
0093-CHURN,Female,0,Yes,No,2,Yes,Fiber optic,Month-to-month,Bank transfer,99.48,202.28,Yes
0094-CHURN,Female,1,Yes,No,9,Yes,Fiber optic,Month-to-month,Electronic check,111.18,983.59,Yes
0095-CHURN,Female,0,Yes,No,38,Yes,Fiber optic,Two year,Electronic check,107.74,4006.12,No
0096-CHURN,Male,0,Yes,Yes,68,Yes,DSL,Two year,Mailed check,73.3,5121.81,No
0097-CHURN,Female,0,No,Yes,30,Yes,Fiber optic,One year,Credit card,104.34,3081.52,No
0098-CHURN,Male,0,No,No,18,Yes,Fiber optic,Month-to-month,Mailed check,112.21,2015.17,Yes
0099-CHURN,Male,0,No,No,70,Yes,No,Two year,Bank transfer,28.9,2036.46,No
0100-CHURN,Male,0,No,No,8,Yes,No,Month-to-month,Mailed check,31.88,248.34,No
0101-CHURN,Male,0,Yes,No,9,Yes,Fiber optic,Month-to-month,Mailed check,112.99,1007.42,Yes
0102-CHURN,Female,0,No,No,53,Yes,Fiber optic,Two year,Credit card,116.94,6362.8,No
0103-CHURN,Male,0,No,No,54,Yes,DSL,Month-to-month,Mailed check,65.6,3584.98,No
0104-CHURN,Female,0,Yes,No,37,Yes,Fiber optic,Two year,Electronic check,112.44,4127.28,No
0105-CHURN,Female,0,No,Yes,26,Yes,No,One year,Electronic check,29.61,783.34,No
0106-CHURN,Male,0,Yes,No,47,Yes,Fiber optic,Two year,Mailed check,103.64,4969.63,No
0107-CHURN,Male,1,No,No,11,Yes,DSL,Month-to-month,Mailed check,69.02,743.36,Yes
0108-CHURN,Female,1,No,No,66,Yes,Fiber optic,Two year,Mailed check,103.7,6879.76,No
0109-CHURN,Male,0,Yes,Yes,71,Yes,No,Two year,Bank transfer,29.24,2059.44,No
0110-CHURN,Male,0,No,No,36,Yes,DSL,Two year,Bank transfer,74.53,2684.18,No
0111-CHURN,Male,0,No,No,65,Yes,Fiber optic,Two year,Electronic check,111.99,7265.84,No
0112-CHURN,Male,0,Yes,No,10,Yes,DSL,Month-to-month,Mailed check,64.64,646.55,No
0113-CHURN,Female,0,Yes,Yes,63,Yes,DSL,Two year,Bank transfer,71.4,4504.12,No
0114-CHURN,Female,0,Yes,Yes,63,Yes,Fiber optic,Two year,Credit card,104.62,6420.72,No
0115-CHURN,Female,0,No,No,6,Yes,Fiber optic,Month-to-month,Electronic check,117.42,690.9,Yes
0116-CHURN,Female,0,No,No,9,Yes,DSL,Month-to-month,Electronic check,69.38,626.9,Yes
0117-CHURN,Female,1,No,Yes,50,Yes,Fiber optic,Two year,Electronic check,98.81,5069.75,No
0118-CHURN,Male,0,No,No,72,Yes,Fiber optic,Two year,Electronic check,104.63,7644.79,No
0119-CHURN,Female,0,No,Yes,8,No,DSL,One year,Mailed check,57.69,454.28,Yes
0120-CHURN,Female,0,Yes,No,5,Yes,No,Month-to-month,Mailed check,28.03,138.99,Yes
0121-CHURN,Female,0,No,No,63,Yes,DSL,Two year,Mailed check,70.32,4386.4,No
0122-CHURN,Female,1,Yes,No,70,Yes,Fiber optic,Two year,Bank transfer,116.12,8259.84,No
0123-CHURN,Male,0,Yes,No,68,Yes,DSL,Two year,Electronic check,75.03,5246.59,No
0124-CHURN,Male,0,No,No,72,No,Fiber optic,Two year,Mailed check,101.69,7258.16,No
0125-CHURN,Male,0,Yes,No,64,Yes,Fiber optic,Two year,Electronic check,104.87,6516.27,No
0126-CHURN,Male,1,No,No,35,No,Fiber optic,One year,Electronic check,92.64,3327.39,No
0127-CHURN,Female,0,No,No,41,Yes,Fiber optic,One year,Credit card,104.85,4364.17,No
0128-CHURN,Female,0,Yes,No,46,Yes,Fiber optic,Two year,Electronic check,100.46,4713.87,No
0129-CHURN,Male,0,Yes,No,69,Yes,Fiber optic,Two year,Electronic check,99.99,6778.72,No
0130-CHURN,Female,0,No,Yes,9,No,DSL,Month-to-month,Bank transfer,61.62,559.43,Yes
0131-CHURN,Male,0,No,Yes,14,No,Fiber optic,Month-to-month,Bank transfer,104.28,1436.51,Yes
0132-CHURN,Male,0,Yes,No,5,Yes,Fiber optic,Month-to-month,Electronic check,99.99,485.3,Yes
0133-CHURN,Male,0,Yes,No,14,Yes,DSL,Month-to-month,Electronic check,68.03,932.82,No
0134-CHURN,Male,0,No,Yes,29,Yes,DSL,One year,Bank transfer,64.84,1928.06,No
0135-CHURN,Female,0,No,No,44,Yes,DSL,Two year,Credit card,67.66,2926.19,No
0136-CHURN,Male,0,Yes,No,18,Yes,DSL,One year,Credit card,75.45,1365.04,No
0137-CHURN,Female,0,Yes,No,9,Yes,Fiber optic,Month-to-month,Credit card,98.7,913.24,Yes
0138-CHURN,Female,1,No,Yes,4,Yes,Fiber optic,Month-to-month,Mailed check,110.94,432.46,No
0139-CHURN,Male,0,No,No,42,Yes,Fiber optic,One year,Electronic check,99.2,4243.38,Yes
0140-CHURN,Female,0,No,No,65,Yes,No,Month-to-month,Electronic check,30.13,1969.91,No
0141-CHURN,Female,0,No,No,4,No,DSL,Month-to-month,Electronic check,60.11,237.89,Yes
0142-CHURN,Male,0,No,Yes,12,Yes,DSL,One year,Electronic check,69.02,821.49,No
0143-CHURN,Male,0,Yes,No,5,Yes,Fiber optic,Month-to-month,Bank transfer,110.75,538.04,Yes
0144-CHURN,Male,0,No,No,3,Yes,No,Month-to-month,Mailed check,32.87,97.17,No
0145-CHURN,Male,0,Yes,No,69,Yes,Fiber optic,One year,Electronic check,103.35,7098.38,No
0146-CHURN,Male,0,No,No,60,Yes,Fiber optic,Two year,Bank transfer,110.2,6698.05,No
0147-CHURN,Female,0,Yes,No,11,Yes,No,Month-to-month,Electronic check,29.77,323.04,No
0148-CHURN,Female,0,Yes,No,42,Yes,Fiber optic,Two year,Mailed check,117.99,4979.46,No
0149-CHURN,Male,0,No,Yes,65,Yes,Fiber optic,Month-to-month,Bank transfer,117.02,7712.04,No
0150-CHURN,Male,0,No,No,27,Yes,No,One year,Electronic check,28.47,777.85,No
0151-CHURN,Female,0,Yes,Yes,19,Yes,DSL,One year,Bank transfer,77.6,1482.39,No
0152-CHURN,Male,0,No,Yes,5,Yes,No,Month-to-month,Credit card,31.69,159.21,No
0153-CHURN,Male,0,Yes,No,5,Yes,DSL,Month-to-month,Mailed check,77.89,394.62,No
0154-CHURN,Male,0,Yes,No,9,Yes,No,Month-to-month,Mailed check,31.85,283.82,No
0155-CHURN,Female,0,No,No,5,Yes,DSL,Month-to-month,Mailed check,64.93,323.68,Yes
0156-CHURN,Male,0,Yes,No,13,Yes,Fiber optic,Two year,Credit card,113.01,1510.22,No
0157-CHURN,Female,0,No,No,67,Yes,No,Two year,Electronic check,31.63,2140.65,No
0158-CHURN,Female,1,Yes,Yes,2,Yes,DSL,Month-to-month,Credit card,65.5,131.16,No
0159-CHURN,Male,1,No,Yes,7,No,Fiber optic,Month-to-month,Bank transfer,103.06,724.81,Yes
0160-CHURN,Female,0,No,Yes,62,Yes,Fiber optic,One year,Credit card,111.5,6748.92,No
0161-CHURN,Male,0,Yes,No,61,No,DSL,Two year,Credit card,67.92,4165.99,No
0162-CHURN,Female,0,Yes,Yes,67,No,No,Two year,Mailed check,21.09,1441.56,No
0163-CHURN,Female,0,No,No,71,Yes,DSL,Two year,Electronic check,69.22,4921.58,No
0164-CHURN,Female,0,No,No,12,Yes,Fiber optic,Month-to-month,Bank transfer,117.08,1377.72,Yes
0165-CHURN,Male,0,Yes,Yes,71,Yes,Fiber optic,Two year,Credit card,110.56,7825.37,No
0166-CHURN,Female,0,No,Yes,24,Yes,No,Two year,Bank transfer,29.74,704.25,No
0167-CHURN,Male,0,Yes,No,6,Yes,Fiber optic,Month-to-month,Credit card,98.42,585.55,Yes
0168-CHURN,Male,0,Yes,No,1,Yes,Fiber optic,One year,Bank transfer,113.13,111.26,No
0169-CHURN,Male,0,No,No,62,No,No,Two year,Credit card,18.6,1141.71,No
0170-CHURN,Female,0,Yes,No,7,Yes,DSL,Month-to-month,Bank transfer,76.86,548.4,Yes
0171-CHURN,Female,1,No,No,6,Yes,Fiber optic,Month-to-month,Mailed check,117.23,714.26,Yes
0172-CHURN,Male,0,No,No,36,Yes,Fiber optic,One year,Bank transfer,102.73,3696.18,No
0173-CHURN,Female,0,No,No,60,Yes,DSL,Two year,Electronic check,64.69,3947.19,No
0174-CHURN,Male,0,No,No,17,Yes,Fiber optic,One year,Mailed check,109.91,1921.78,No
0175-CHURN,Female,1,No,No,8,Yes,Fiber optic,Month-to-month,Bank transfer,102.27,813.55,Yes
0176-CHURN,Male,0,No,No,64,Yes,Fiber optic,One year,Electronic check,108.84,7166.37,No
0177-CHURN,Female,0,No,No,17,Yes,DSL,Two year,Mailed check,69.21,1158.63,No
0178-CHURN,Male,0,No,No,5,No,DSL,Month-to-month,Mailed check,64.88,333.25,Yes
0179-CHURN,Female,0,No,Yes,5,Yes,DSL,Month-to-month,Electronic check,78.0,398.53,Yes
0180-CHURN,Male,0,Yes,No,23,Yes,DSL,Month-to-month,Bank transfer,69.85,1577.55,Yes
0181-CHURN,Male,0,No,No,29,Yes,DSL,Month-to-month,Mailed check,73.28,2105.97,No
0182-CHURN,Male,0,No,No,6,No,Fiber optic,One year,Credit card,94.84,576.14,Yes
0183-CHURN,Female,1,No,Yes,67,Yes,Fiber optic,One year,Electronic check,115.25,7578.88,No
0184-CHURN,Female,0,No,No,11,Yes,No,Month-to-month,Mailed check,28.18,311.67,No
0185-CHURN,Male,0,No,Yes,41,Yes,Fiber optic,Two year,Electronic check,107.87,4431.91,No
0186-CHURN,Female,0,No,Yes,41,Yes,DSL,Two year,Electronic check,65.65,2658.04,No
0187-CHURN,Female,0,Yes,Yes,4,Yes,DSL,Month-to-month,Bank transfer,65.65,259.46,No
0188-CHURN,Female,1,No,No,70,Yes,Fiber optic,One year,Electronic check,108.66,7613.64,No
0189-CHURN,Female,0,Yes,No,19,Yes,No,Month-to-month,Electronic check,29.54,554.52,Yes
0190-CHURN,Male,0,No,No,66,Yes,Fiber optic,Two year,Mailed check,107.18,6938.17,No
0191-CHURN,Male,0,No,No,3,Yes,Fiber optic,Month-to-month,Bank transfer,104.11,317.45,Yes
0192-CHURN,Female,0,Yes,No,62,Yes,DSL,Two year,Bank transfer,69.83,4350.7,No
0193-CHURN,Female,0,Yes,No,33,Yes,Fiber optic,Month-to-month,Credit card,103.72,3409.95,Yes
0194-CHURN,Female,0,No,Yes,12,Yes,Fiber optic,One year,Electronic check,114.07,1342.66,No
0195-CHURN,Male,0,Yes,No,5,Yes,DSL,Month-to-month,Mailed check,71.37,358.87,Yes
0196-CHURN,Male,0,Yes,No,15,Yes,Fiber optic,Month-to-month,Mailed check,101.23,1530.17,No
0197-CHURN,Female,0,No,No,60,Yes,DSL,Two year,Credit card,63.13,3783.2,No
0198-CHURN,Female,0,Yes,No,22,Yes,Fiber optic,One year,Bank transfer,98.35,2147.18,No
0199-CHURN,Female,1,No,No,9,Yes,Fiber optic,Month-to-month,Mailed check,106.43,978.98,Yes
0200-CHURN,Female,0,No,Yes,72,Yes,Fiber optic,Two year,Mailed check,104.28,7600.42,No
0201-CHURN,Female,0,Yes,No,61,Yes,Fiber optic,Two year,Mailed check,103.24,6243.29,No
0202-CHURN,Male,0,Yes,Yes,1,Yes,Fiber optic,Month-to-month,Mailed check,110.46,111.08,Yes
0203-CHURN,Male,0,No,Yes,25,No,No,Two year,Bank transfer,22.07,542.94,No
0204-CHURN,Female,0,No,No,67,Yes,Fiber optic,Two year,Electronic check,99.27,6456.13,No
0205-CHURN,Female,1,No,No,49,Yes,Fiber optic,Two year,Electronic check,100.2,5018.46,No
0206-CHURN,Male,0,No,Yes,7,Yes,DSL,Month-to-month,Electronic check,68.53,488.89,No
0207-CHURN,Male,1,No,No,11,No,Fiber optic,Month-to-month,Credit card,96.83,1074.04,Yes
0208-CHURN,Female,0,Yes,No,4,Yes,DSL,Month-to-month,Credit card,68.93,280.87,No
0209-CHURN,Male,0,Yes,No,71,Yes,DSL,Two year,Mailed check,72.58,5240.01,No
0210-CHURN,Male,1,Yes,No,10,Yes,DSL,Month-to-month,Electronic check,64.31,657.0,Yes
0211-CHURN,Female,0,Yes,No,20,Yes,Fiber optic,Two year,Electronic check,107.89,2208.53,No
0212-CHURN,Female,1,No,No,42,Yes,Fiber optic,Two year,Mailed check,114.23,4889.43,No
0213-CHURN,Female,0,No,No,32,Yes,No,Two year,Mailed check,32.64,1066.52,No
0214-CHURN,Male,1,Yes,No,28,No,Fiber optic,Two year,Electronic check,99.21,2778.16,No
0215-CHURN,Female,0,No,No,23,Yes,DSL,One year,Credit card,65.08,1515.52,No
0216-CHURN,Male,0,Yes,No,67,No,Fiber optic,Two year,Mailed check,102.55,6802.11,No
0217-CHURN,Male,0,Yes,Yes,62,Yes,Fiber optic,Two year,Electronic check,113.93,7216.71,No
0218-CHURN,Female,0,No,Yes,66,Yes,Fiber optic,Two year,Electronic check,101.93,6872.12,No
0219-CHURN,Female,0,Yes,Yes,19,Yes,Fiber optic,One year,Mailed check,111.55,2064.28,No
0220-CHURN,Female,0,Yes,No,6,Yes,DSL,Month-to-month,Electronic check,76.96,457.52,Yes
0221-CHURN,Female,0,Yes,No,20,Yes,Fiber optic,Two year,Mailed check,112.38,2203.29,No
0222-CHURN,Female,0,Yes,No,5,Yes,Fiber optic,Month-to-month,Mailed check,106.31,519.93,Yes
0223-CHURN,Male,0,No,No,63,Yes,No,One year,Credit card,30.21,1893.51,No
0224-CHURN,Male,0,No,No,36,Yes,DSL,Two year,Mailed check,64.19,2328.26,No
0225-CHURN,Male,0,Yes,No,61,Yes,Fiber optic,Two year,Bank transfer,108.52,6557.65,No
0226-CHURN,Male,0,Yes,No,61,Yes,Fiber optic,One year,Credit card,114.05,6877.41,No
0227-CHURN,Female,0,No,Yes,38,Yes,Fiber optic,Two year,Electronic check,117.57,4358.95,No
0228-CHURN,Male,0,No,Yes,70,Yes,Fiber optic,Two year,Mailed check,105.99,7367.18,No
0229-CHURN,Female,0,Yes,No,4,No,No,Month-to-month,Electronic check,20.18,80.58,Yes
0230-CHURN,Female,1,Yes,No,4,Yes,Fiber optic,One year,Mailed check,99.1,393.99,Yes
0231-CHURN,Female,0,No,No,70,Yes,DSL,Month-to-month,Mailed check,74.63,5280.55,No
0232-CHURN,Female,0,No,Yes,69,Yes,DSL,Two year,Mailed check,73.75,5024.07,No
0233-CHURN,Female,0,Yes,Yes,71,Yes,DSL,Two year,Electronic check,69.04,4965.38,No
0234-CHURN,Male,0,No,No,11,Yes,DSL,One year,Mailed check,73.64,828.64,Yes
0235-CHURN,Male,0,Yes,No,7,Yes,Fiber optic,Month-to-month,Credit card,110.46,777.45,Yes
0236-CHURN,Female,0,No,No,45,Yes,Fiber optic,Two year,Credit card,113.38,5068.02,No
0237-CHURN,Male,0,No,No,72,Yes,Fiber optic,Two year,Electronic check,104.28,7363.86,No
0238-CHURN,Male,0,No,No,3,Yes,Fiber optic,Month-to-month,Electronic check,111.02,341.7,Yes
0239-CHURN,Female,0,Yes,No,59,Yes,Fiber optic,Two year,Electronic check,110.51,6618.62,No
0240-CHURN,Male,0,Yes,No,7,Yes,Fiber optic,One year,Electronic check,99.81,688.04,No
0241-CHURN,Female,1,Yes,No,2,Yes,Fiber optic,Month-to-month,Mailed check,103.62,202.9,Yes
0242-CHURN,Female,0,No,No,19,Yes,Fiber optic,One year,Bank transfer,115.2,2129.61,No
0243-CHURN,Female,0,Yes,No,44,Yes,DSL,Month-to-month,Electronic check,65.34,2821.58,No
0244-CHURN,Male,1,Yes,No,30,Yes,No,Two year,Electronic check,29.9,909.51,No
0245-CHURN,Male,0,Yes,Yes,68,Yes,No,One year,Bank transfer,29.13,1996.24,No
0246-CHURN,Female,0,No,No,63,Yes,Fiber optic,One year,Mailed check,100.8,6528.5,No
0247-CHURN,Male,0,Yes,No,9,Yes,Fiber optic,One year,Mailed check,100.73,896.89,No
0248-CHURN,Female,1,Yes,Yes,9,Yes,Fiber optic,Month-to-month,Electronic check,104.96,960.88,Yes
0249-CHURN,Female,1,Yes,No,70,Yes,Fiber optic,Two year,Bank transfer,114.07,7803.06,No
0250-CHURN,Female,0,No,Yes,23,Yes,DSL,Two year,Credit card,77.49,1788.96,No
0251-CHURN,Male,0,No,No,32,Yes,Fiber optic,One year,Mailed check,109.44,3495.1,No
0252-CHURN,Male,0,No,No,5,Yes,No,Month-to-month,Bank transfer,31.18,159.06,No
0253-CHURN,Female,0,No,Yes,12,Yes,DSL,Month-to-month,Mailed check,74.68,907.0,No
0254-CHURN,Male,0,No,No,69,Yes,Fiber optic,Two year,Electronic check,111.24,7534.78,No
0255-CHURN,Male,1,Yes,No,32,Yes,No,Month-to-month,Mailed check,32.24,1061.63,No
0256-CHURN,Female,0,No,No,21,Yes,Fiber optic,One year,Credit card,115.68,2476.38,No
0257-CHURN,Female,0,Yes,No,69,Yes,Fiber optic,Two year,Bank transfer,110.55,7561.42,No
0258-CHURN,Female,0,Yes,No,25,Yes,No,One year,Mailed check,30.67,781.75,No
0259-CHURN,Female,0,No,No,9,Yes,Fiber optic,Month-to-month,Bank transfer,105.82,978.49,No
0260-CHURN,Male,0,Yes,No,10,Yes,Fiber optic,Month-to-month,Mailed check,107.23,1097.41,Yes
0261-CHURN,Female,0,Yes,Yes,7,Yes,DSL,Month-to-month,Credit card,68.18,478.87,Yes
0262-CHURN,Female,1,Yes,No,38,Yes,Fiber optic,Two year,Electronic check,106.54,4067.26,No
0263-CHURN,Male,1,No,Yes,3,Yes,DSL,Month-to-month,Credit card,76.5,224.08,No
0264-CHURN,Female,0,Yes,No,57,Yes,DSL,One year,Bank transfer,77.59,4333.66,No
0265-CHURN,Female,1,No,No,4,Yes,Fiber optic,One year,Electronic check,105.23,433.11,No
0266-CHURN,Female,0,No,Yes,43,Yes,Fiber optic,Two year,Mailed check,102.41,4474.91,No
0267-CHURN,Female,0,No,No,33,Yes,No,Month-to-month,Mailed check,28.39,910.2,No
0268-CHURN,Female,0,Yes,Yes,68,Yes,DSL,Two year,Electronic check,75.55,5152.05,No
0269-CHURN,Male,0,No,No,45,Yes,Fiber optic,Two year,Mailed check,115.41,5145.24,No
0270-CHURN,Male,1,Yes,No,1,Yes,DSL,Month-to-month,Electronic check,69.76,68.97,Yes
